Shell_Label,Shell_Part,Shell_N1,Shell_N2,Shell_N3,Shell_N4
9572661,5,37742125,37742197,37742198,37742126
9572662,5,37742126,37742198,37742199,37742127
9572663,5,37742127,37742199,37742200,37742128
9572664,5,37742128,37742200,37742201,37742129
9572665,5,37742129,37742201,37742202,37742130
9572666,5,37742130,37742202,37742203,37742131
9572667,5,37742131,37742203,37742204,37742132
9572668,5,37742132,37742204,37742205,37742133
9572669,5,37742133,37742205,37742206,37742134
9572670,5,37742134,37742206,37742207,37742135
9572671,5,37742135,37742207,37742208,37742136
9572672,5,37742136,37742208,37742209,37742137
9572673,5,37742137,37742209,37742210,37742138
9572674,5,37742138,37742210,37742211,37742139
9572675,5,37742139,37742211,37742191,37742119
9572728,5,37742191,37742263,37742264,37742192
9572731,5,37742195,37742267,37742268,37742196
9572732,5,37742196,37742268,37742269,37742197
9572733,5,37742197,37742269,37742270,37742198
9572734,5,37742198,37742270,37742271,37742199
9572735,5,37742199,37742271,37742272,37742200
9572736,5,37742200,37742272,37742273,37742201
9572737,5,37742201,37742273,37742274,37742202
9572738,5,37742202,37742274,37742275,37742203
9572739,5,37742203,37742275,37742276,37742204
9572740,5,37742204,37742276,37742277,37742205
9572741,5,37742205,37742277,37742278,37742206
9572742,5,37742206,37742278,37742279,37742207
9572743,5,37742207,37742279,37742280,37742208
9572744,5,37742208,37742280,37742281,37742209
9572745,5,37742209,37742281,37742282,37742210
9572746,5,37742210,37742282,37742283,37742211
9572747,5,37742211,37742283,37742263,37742191
9572803,5,37742267,37742339,37742340,37742268
9572804,5,37742268,37742340,37742341,37742269
9572805,5,37742269,37742341,37742342,37742270
9572806,5,37742270,37742342,37742343,37742271
9572807,5,37742271,37742343,37742344,37742272
9572808,5,37742272,37742344,37742345,37742273
9572809,5,37742273,37742345,37742346,37742274
9572810,5,37742274,37742346,37742347,37742275
9572811,5,37742275,37742347,37742348,37742276
9572812,5,37742276,37742348,37742349,37742277
9572813,5,37742277,37742349,37742350,37742278
9572814,5,37742278,37742350,37742351,37742279
9572815,5,37742279,37742351,37742352,37742280
9572816,5,37742280,37742352,37742353,37742281
9572875,5,37742339,37742411,37742412,37742340
9572876,5,37742340,37742412,37742413,37742341
9572877,5,37742341,37742413,37742414,37742342
9572878,5,37742342,37742414,37742415,37742343
9572879,5,37742343,37742415,37742416,37742344
9572880,5,37742344,37742416,37742417,37742345
9572881,5,37742345,37742417,37742418,37742346
9572882,5,37742346,37742418,37742419,37742347
9572947,5,37742411,37742483,37742484,37742412
9572948,5,37742412,37742484,37742485,37742413
9574185,13,37743322,37752682,37752692,37752512
9574186,13,37752682,37752683,37752693,37752692
9574187,13,37752683,37752684,37752694,37752693
9574188,13,37752684,37752685,37752695,37752694
9574189,13,37752685,37752686,37752696,37752695
